Waypoint,X pose,Y pose,Z pose,X orientation,Y orientation,Z orientation,W orientation
wp 0,-0.338170,0.067316,2.726689,0.004725,-0.007184,0.000861,0.999963
wp 1,1.993897,1.256056,4.774413,0.001459,0.005023,-0.250465,0.968112
wp 2,2.827442,1.970980,5.509655,-0.006721,0.028434,-0.411742,0.910832
wp 3,3.567173,2.983362,6.982839,-0.009653,0.022635,-0.527368,0.849280
wp 4,2.165227,1.384612,8.653302,0.003791,-0.010396,-0.301157,0.953510
wp 5,0.193788,0.725601,9.565626,0.011703,-0.050414,-0.040603,0.997834
wp 6,-0.905524,0.659958,8.134253,0.001598,-0.020262,0.089962,0.995738
wp 7,-0.988973,0.701771,6.549927,0.002002,0.001925,0.083394,0.996513
wp 8,-2.806696,1.556306,7.067190,-0.001419,-0.054597,0.331268,0.941955
wp 9,-4.356574,3.554839,8.695877,-0.000604,-0.001638,0.555985,0.831190
wp 10,-4.539757,4.233622,7.963091,-0.012302,-0.017927,0.664329,0.747124
wp 11,-4.502175,5.952666,7.127887,-0.021537,-0.030528,0.803396,0.594272
wp 12,-3.225917,8.132515,8.391719,-0.005109,-0.001739,0.923019,0.384716
wp 13,-2.350686,8.716774,9.427967,-0.009386,-0.005110,0.964927,0.262303
wp 14,-0.502502,9.127025,7.897194,-0.039955,-0.009142,0.999106,0.010326
wp 15,1.541694,8.727518,8.445380,-0.048406,-0.002711,0.969234,-0.241319
wp 16,3.605093,6.295093,9.347829,0.077476,-0.019395,-0.801571,0.592542
wp 17,3.869811,5.027814,7.854549,0.016397,-0.015927,-0.726186,0.687118
wp 18,3.655296,6.025281,6.223308,-0.017183,0.017780,-0.804430,0.593533
wp 19,1.889820,8.417573,5.200935,0.051573,-0.035249,0.966577,-0.248649
wp 20,-0.410050,9.383911,6.773253,0.006569,-0.004540,0.999952,-0.005725
wp 21,-1.397893,9.307474,6.060371,0.024266,-0.002246,0.991149,0.130501
wp 22,-3.183686,8.319596,5.357021,0.043854,0.006459,0.926429,0.373850
wp 23,-4.566696,4.774560,6.133224,0.076253,0.032661,0.667139,0.740300
wp 24,-3.918292,2.549466,5.234244,0.030520,0.039809,0.453144,0.890025
wp 25,-0.328434,0.014443,2.933475,0.014931,0.027046,0.013123,0.999437
